source,target,relationship,sentiment,url,article_source,date
Hezbollah,Israel,opposes,HOSTILE,https://www.nytimes.com/2024/10/08/world/middleeast/israel-lebanon-gaza-syria.html,us,2024-10-08
Joe Biden,Israel,warns,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/israel-iran-nuclear-facilities-strikes.html,us,2024-10-07
Lloyd J. Austin III,Yoav Gallant,wants,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/israel-iran-nuclear-facilities-strikes.html,us,2024-10-07
Susan Pozo,Western Michigan University,represents,NEUTRAL,https://www.nytimes.com/2024/10/11/business/economy/trump-housing-crisis-deportations.html,us,2024-10-11
Donald Trump,Democratic Party,accuses,HOSTILE,https://www.nytimes.com/2024/10/07/us/politics/trump-antisemitism-oct7.html,us,2024-10-07
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.nytimes.com/2024/10/07/us/politics/trump-antisemitism-oct7.html,us,2024-10-07
Donald Trump,Republican Party,supports,NEUTRAL,https://www.nytimes.com/2024/10/13/upshot/trump-black-hispanic-voters-harris.html,us,2024-10-13
Joe Biden,Democratic Party,represents,NEUTRAL,https://www.nytimes.com/2024/10/13/upshot/trump-black-hispanic-voters-harris.html,us,2024-10-13
Donald Trump,Black voters,supports,NEUTRAL,https://www.nytimes.com/2024/10/13/upshot/trump-black-hispanic-voters-harris.html,us,2024-10-13
Donald Trump,Hispanic voters,supports,NEUTRAL,https://www.nytimes.com/2024/10/13/upshot/trump-black-hispanic-voters-harris.html,us,2024-10-13
Elon Musk,Tesla,leads,NEUTRAL,https://www.nytimes.com/2024/10/10/business/tesla-robotaxi-elon-musk.html,us,2024-10-10
Elon Musk,the company,supports,NEUTRAL,https://www.nytimes.com/2024/10/10/business/tesla-robotaxi-elon-musk.html,us,2024-10-10
Nasa,Europa Clipper,leads,NEUTRAL,https://www.nytimes.com/2024/10/13/opinion/nasa-europa-clipper-extraterrestrials.html,us,2024-10-13
Nasa,International Space Station,partners with,NEUTRAL,https://www.nytimes.com/2024/10/13/opinion/nasa-europa-clipper-extraterrestrials.html,us,2024-10-13
Nasa,moon,supports,NEUTRAL,https://www.nytimes.com/2024/10/13/opinion/nasa-europa-clipper-extraterrestrials.html,us,2024-10-13
Foxconn,Apple,partners with,NEUTRAL,https://www.nytimes.com/2024/10/11/business/foxconn-zhengzhou-china-detentions.html,us,2024-10-11
Taiwan’s Mainland Affairs Council,Foxconn,accuses,NEUTRAL,https://www.nytimes.com/2024/10/11/business/foxconn-zhengzhou-china-detentions.html,us,2024-10-11
Taiwan's government,Foxconn,accuses,NEUTRAL,https://www.nytimes.com/2024/10/11/business/foxconn-zhengzhou-china-detentions.html,us,2024-10-11
Benjamin Netanyahu,Gaza,supports,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/trump-gaza-israel.html,us,2024-10-07
Donald Trump,Israel,has been to,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/trump-gaza-israel.html,us,2024-10-07
Donald Trump,World Liberty Financial,partners with,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/donald-trump-crypto-2024-campaign.html,us,2024-10-07
Donald Trump Jr.,Chase Herro,partners with,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/donald-trump-crypto-2024-campaign.html,us,2024-10-07
Donald Trump Jr.,Zachary Folkman,partners with,NEUTRAL,https://www.nytimes.com/2024/10/07/us/politics/donald-trump-crypto-2024-campaign.html,us,2024-10-07
Olshansky,Luigi Ferrucci,opposes,NEUTRAL,https://www.nytimes.com/2024/10/07/well/live/average-human-life-span.html,us,2024-10-07
Olshansky,Austad,partners with,NEUTRAL,https://www.nytimes.com/2024/10/07/well/live/average-human-life-span.html,us,2024-10-07
Daniel Benneworth-Gray,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Mimi Syed,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Nina Ng,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Mark Perlmutter,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Irfan Galaria,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Rania Afaneh,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Khawaja Ikram,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Ahlia Kattan,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Ndal Farah,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Merril Tydings,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Abeerah Muhammad,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Asma Taha,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Nahreen Ahmed,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Aman Odeh,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Mike Mallah,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Deborah Weidner,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Tanya Haj-Hassan,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Laura Swoboda,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Feroze Sidhwa,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Mohammed Al-Jaghbeer,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Adam Hamawy,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Talal Ali Khan,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Wilhelmi Massay,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Brenda Maldonado,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Ayman Abdul-Ghani,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Mohamad Abdelfattah,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Ammar Ghanem,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Monica Johnston,Gaza,represents,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Gaza,Israel,opposes,HOSTILE,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Human Rights Watch,Israel,criticizes,HOSTILE,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Oxfam,Israel,criticizes,HOSTILE,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
United States,Israel,supports,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Biden-Harris administration,Israel,supports,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Kamala Harris,Biden-Harris administration,criticizes,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Peter Beinart,Kamala Harris,supports,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Benjamin Netanyahu,Hamas,opposes,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Benjamin Netanyahu,Hezbollah,opposes,NEUTRAL,https://www.nytimes.com/interactive/2024/10/09/opinion/gaza-doctor-interviews.html,us,2024-10-09
Donald Trump,National Guard,supports,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/13/trump-military-enemies-within/,us,2024-10-13
Donald Trump,U.S. military,supports,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/13/trump-military-enemies-within/,us,2024-10-13
Donald Trump,Adam Schiff,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/13/trump-military-enemies-within/,us,2024-10-13
Adam Schiff,Donald Trump,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/13/trump-military-enemies-within/,us,2024-10-13
Steven Cheung,Donald Trump,supports,FRIENDLY,https://www.washingtonpost.com/politics/2024/10/13/trump-military-enemies-within/,us,2024-10-13
Ian Sams,Donald Trump,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/13/trump-military-enemies-within/,us,2024-10-13
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/07/trump-undocumented-immigrants-bad-genes/,us,2024-10-07
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/07/trump-undocumented-immigrants-bad-genes/,us,2024-10-07
Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/07/trump-undocumented-immigrants-bad-genes/,us,2024-10-07
Joe Biden,migrants,opposes,NEUTRAL,https://www.washingtonpost.com/politics/2024/10/07/trump-undocumented-immigrants-bad-genes/,us,2024-10-07
Donald Trump,migrants,opposes,HOSTILE,https://www.washingtonpost.com/politics/2024/10/07/trump-undocumented-immigrants-bad-genes/,us,2024-10-07
IDF,northern Gaza,operates in,NEUTRAL,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html,us,2024-10-13
IDF,Jabalya,operates in,NEUTRAL,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html,us,2024-10-13
IDF,Jabalya,accuses,HOSTILE,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html,us,2024-10-13
IDF,Hamas,accuses,HOSTILE,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html,us,2024-10-13
MSF,Haydar,employs,NEUTRAL,https://www.cnn.com/world/live-news/israel-war-iran-palestine-lebanon-10-12-24/index.html,us,2024-10-13
Joe Biden,Benjamin Netanyahu,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Vladimir Putin,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Merrick Garland,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Obama,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Donald Trump,Vladimir Putin,partners with,NEUTRAL,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Lindsey Graham,Donald Trump,criticizes,NEUTRAL,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Volodymyr Zelensky,opposes,NEUTRAL,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Kamala Harris,endorses,FRIENDLY,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Kamala Harris,Joe Biden,supports,FRIENDLY,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Antony Blinken,Joe Biden,supports,FRIENDLY,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
George W Bush,Joe Biden,supports,FRIENDLY,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Kamala Harris,Joe Manchin,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Saudi Crown Prince Mohammed bin Salman,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Joe Biden,Israel,supports,NEUTRAL,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Lindsey Graham,Mohammed bin Salman,partners with,NEUTRAL,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Lloyd Austin,Sergei Shoigu,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Bob Woodward,Donald Trump,criticizes,NEUTRAL,https://www.cnn.com/2024/10/08/politics/bob-woodward-book-war-joe-biden-putin-netanyahu-trump/index.html,us,2024-10-09
Donald Trump,Maria Bartiromo,partners with,NEUTRAL,https://www.cnn.com/2024/10/13/politics/trump-military-enemy-from-within-election-day/index.html,us,2024-10-13
Donald Trump,opponents,criticizes,HOSTILE,https://www.cnn.com/2024/10/13/politics/trump-military-enemy-from-within-election-day/index.html,us,2024-10-13
Donald Trump,Democratic Party,accuses,HOSTILE,https://www.cnn.com/2024/10/13/politics/trump-military-enemy-from-within-election-day/index.html,us,2024-10-13
Donald Trump,2024 election,criticizes,HOSTILE,https://www.cnn.com/2024/10/13/politics/trump-military-enemy-from-within-election-day/index.html,us,2024-10-13
Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/13/politics/trump-military-enemy-from-within-election-day/index.html,us,2024-10-13
Donald Trump,Mexico,accuses,NEUTRAL,https://www.cnn.com/2024/10/13/politics/donald-trump-tariffs/index.html,us,2024-10-13
Donald Trump,Canada,accuses,NEUTRAL,https://www.cnn.com/2024/10/13/politics/donald-trump-tariffs/index.html,us,2024-10-13
Donald Trump,China,accuses,NEUTRAL,https://www.cnn.com/2024/10/13/politics/donald-trump-tariffs/index.html,us,2024-10-13
Kamala Harris,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/13/politics/donald-trump-tariffs/index.html,us,2024-10-13
Donald Trump,Howard Lutnick,partners with,NEUTRAL,https://www.cnn.com/2024/10/13/politics/donald-trump-tariffs/index.html,us,2024-10-13
TD Bank,Treasury Department,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
TD Bank,Financial Crimes Enforcement Network,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
TD Bank,Justice Department,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
Merrick Garland,TD Bank,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
Wally Adeyemo,TD Bank,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
Bharat Masrani,TD Bank,leads,NEUTRAL,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
Elizabeth Warren,TD Bank,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
Elizabeth Warren,Justice Department,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
Elizabeth Warren,Office of the Comptroller of the Currency,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
TD Bank,United States,accuses,HOSTILE,https://www.cnn.com/2024/10/10/investing/td-bank-settlement-money-laundering/index.html,us,2024-10-10
FEMA,U.S. Congress,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fema-disaster-funding-congress-explainer/index.html,us,2024-10-10
Deanne Criswell,reporters,speaks to,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fema-disaster-funding-congress-explainer/index.html,us,2024-10-10
U.S. Congress,FEMA,supports,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fema-disaster-funding-congress-explainer/index.html,us,2024-10-10
Adam Smith,NOAA,represents,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fema-disaster-funding-congress-explainer/index.html,us,2024-10-10
Deanne Criswell,U.S. Congress,may ask for money from,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fema-disaster-funding-congress-explainer/index.html,us,2024-10-10
Donald Trump,FEMA,criticizes,HOSTILE,https://www.cnn.com/2024/10/09/politics/fema-750-hurricane-disaster-payment-assistance-what-to-know/index.html,us,2024-10-09
Deanne Criswell,disaster survivors,supports,FRIENDLY,https://www.cnn.com/2024/10/09/politics/fema-750-hurricane-disaster-payment-assistance-what-to-know/index.html,us,2024-10-09
Jaclyn Rothenberg,FEMA,represents,NEUTRAL,https://www.cnn.com/2024/10/09/politics/fema-750-hurricane-disaster-payment-assistance-what-to-know/index.html,us,2024-10-09
Han Kang,Yoon Suk Yeol,supports,FRIENDLY,https://www.cnn.com/2024/10/10/style/han-kang-nobel-prize-literature-intl/index.html,us,2024-10-10
Yoon Suk Yeol,Han Kang,endorses,FRIENDLY,https://www.cnn.com/2024/10/10/style/han-kang-nobel-prize-literature-intl/index.html,us,2024-10-10
Anna-Karin Palm,Han Kang,supports,FRIENDLY,https://www.cnn.com/2024/10/10/style/han-kang-nobel-prize-literature-intl/index.html,us,2024-10-10
Deborah Smith,Han Kang,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/style/han-kang-nobel-prize-literature-intl/index.html,us,2024-10-10
Ellen Mattson,Swedish Academy,leads,NEUTRAL,https://www.cnn.com/2024/10/10/style/han-kang-nobel-prize-literature-intl/index.html,us,2024-10-10
Donald Trump,Deloitte,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump Jr.,Deloitte,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump Jr.,The Washington Post,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,Google,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,Apple,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,Harley-Davidson,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,Amazon,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,Facebook,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,United States Postal Service,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,General Motors,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
JD Vance,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Eric Schmitt,Deloitte,criticizes,HOSTILE,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Kamala Harris,Deloitte,opposes,NEUTRAL,https://www.cnn.com/2024/10/08/business/deloitte-trump-leaked-jd-vance-messages/index.html,us,2024-10-08
Donald Trump,FEMA,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Donald Trump,Joe Biden,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Donald Trump,Tim Walz,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Kamala Harris,Joe Biden,partners with,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Donald Trump,New York Times,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Donald Trump,Joe Biden,accuses,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Donald Trump,China,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Meghan McCain,Kamala Harris,criticizes,NEUTRAL,https://www.cnn.com/2024/10/10/politics/fact-check-trump-pennsylvania-speeches/index.html,us,2024-10-10
Amber Henry,CNN,is seen in,NEUTRAL,https://www.cnn.com/weather/live-news/hurricane-milton-path-florida-10-10-24/index.html,us,2024-10-10
Donald Trump,Mexico,accuses,HOSTILE,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,us,2024-10-10
Donald Trump,Canada,accuses,HOSTILE,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,us,2024-10-10
Donald Trump,American auto industry,supports,FRIENDLY,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,us,2024-10-10
Donald Trump,American auto industry,represents,NEUTRAL,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,us,2024-10-10
Howard Gleckman,Donald Trump,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,us,2024-10-10
Kamala Harris,United States,represents,NEUTRAL,https://www.cnn.com/2024/10/10/politics/donald-trump-tax-relief/index.html,us,2024-10-10
Elon Musk,Tesla,leads,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Elon Musk,X,leads,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Kara Swisher,CNN,represents,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Tesla,Waymo,competes with,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Tesla,Lyft,competes with,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Elon Musk,California,predicts,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Elon Musk,Texas,predicts,NEUTRAL,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Kara Swisher,Elon Musk,criticizes,HOSTILE,https://www.cnn.com/2024/10/10/business/elon-musk-tesla-robotaxis/index.html,us,2024-10-10
Miguel Lorente,Christopher Columbus,leads,NEUTRAL,https://www.cnn.com/2024/10/13/world/columbus-origins-western-europe-study-intl/index.html,us,2024-10-13
Khymani James,Israel,opposes,HOSTILE,https://www.cnn.com/2024/10/09/us/columbia-pro-palestine-group-apology/index.html,us,2024-10-10
CUAD,Khymani James,supports,NEUTRAL,https://www.cnn.com/2024/10/09/us/columbia-pro-palestine-group-apology/index.html,us,2024-10-10
CUAD,Israel,opposes,HOSTILE,https://www.cnn.com/2024/10/09/us/columbia-pro-palestine-group-apology/index.html,us,2024-10-10
Columbia University,Khymani James,opposes,HOSTILE,https://www.cnn.com/2024/10/09/us/columbia-pro-palestine-group-apology/index.html,us,2024-10-10
Benjamin Netanyahu,ceasefire,opposes,HOSTILE,https://www.cnn.com/2024/10/09/us/columbia-pro-palestine-group-apology/index.html,us,2024-10-10
Joshua Johnston,Mega Millions,leads,NEUTRAL,https://www.cnn.com/2024/10/08/business/mega-millions-ticket-price/index.html,us,2024-10-08
Mega Millions,Florida,represents,NEUTRAL,https://www.cnn.com/2024/10/08/business/mega-millions-ticket-price/index.html,us,2024-10-08
True Value,Do it Best,partners with,NEUTRAL,https://www.cnn.com/2024/10/14/business/true-value-bankruptcy/index.html,us,2024-10-14
Donald Trump,Democratic Party,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,us,2024-10-13
Donald Trump,Adam Schiff,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,us,2024-10-13
Adam Schiff,Donald Trump,opposes,NEUTRAL,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,us,2024-10-13
Donald Trump,Kamala Harris,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,us,2024-10-13
Donald Trump,Russia,criticizes,HOSTILE,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,us,2024-10-13
Donald Trump,Joe Biden,opposes,NEUTRAL,https://www.nbcnews.com/politics/2024-election/-enemy-trump-claims-democrats-are-dangerous-us-foreign-adversaries-rcna175198,us,2024-10-13
